controller,controller_type,scenario_name,approval_rate_mean,approval_rate_ci_lower,approval_rate_ci_upper,default_rate_mean,default_rate_ci_lower,default_rate_ci_upper,expected_profit_mean,expected_profit_ci_lower,expected_profit_ci_upper,npv_mean,npv_ci_lower,npv_ci_upper,cumulative_reward_mean,cumulative_reward_ci_lower,cumulative_reward_ci_upper,capital_usage_mean_mean,capital_usage_mean_ci_lower,capital_usage_mean_ci_upper,reward_volatility_mean,reward_volatility_ci_lower,reward_volatility_ci_upper,stability_index_mean,stability_index_ci_lower,stability_index_ci_upper,threshold_volatility_mean,threshold_volatility_ci_lower,threshold_volatility_ci_upper,expected_profit_seed_std,cumulative_reward_seed_std
dqn,agent,split_policy_dynamics,0.5612199906361633,0.4265948041677507,0.7134468023236367,0.06282482174967781,0.05767455473560186,0.06707364818060958,366238.51064948033,279176.7272452456,459812.81955874653,359235.5254981974,273814.8729846963,450976.38443769806,441633.93641812867,335199.5310056877,556173.9609306863,0.5353664066674512,0.425240472113216,0.6573231900267565,31831.896295776492,24314.69773200137,39983.376777730715,3.932105674547981e-05,2.8147198122894704e-05,5.182923387730954e-05,0.0,0.0,0.0,166429.811025055,202753.49809247977
ppo,agent,adverse_stress,0.5575659996197678,0.5536663415941608,0.5619588240078166,0.07173703792655649,0.06818708481385959,0.07485460428830688,325497.4115521174,305953.12534423,347559.79328413587,318887.0247033485,299805.8785524303,340566.47741533315,397805.29234394635,373308.06845716457,425376.8499522127,0.5923760248594997,0.5838310803676988,0.6035009608050661,24378.151080099982,22039.354661661306,26866.221580615704,4.22762981757607e-05,3.7891013837733694e-05,4.6971163351467215e-05,0.0,0.0,0.0,33225.15816549674,41407.38523290872
ppo,agent,base_market,0.5905404291214649,0.5876113066928428,0.5940114189881026,0.05830699225877225,0.05596689130744204,0.06042537737045546,389654.34390121064,378508.8194174018,402564.50342416484,382206.4793031342,371202.3819820307,394959.072814931,476234.64740909473,462272.00612183433,492450.2185524486,0.5572077153878044,0.5524546953095498,0.5620864712274605,34262.49695498728,31999.625383831255,36224.777920242755,2.9609346242502142e-05,2.773888009487928e-05,3.1971888387777835e-05,0.0,0.0,0.0,23139.341786517653,28971.87844143036
ppo,agent,class_imbalance_shift,0.5584705893675898,0.5538924852033313,0.5625428294194246,0.062265924255956194,0.06007023830889158,0.06433373291323624,358004.748854189,344439.89800883573,372330.0326083603,351065.7661659513,337813.6088505164,365049.53311334393,438360.16032267286,421544.5201156616,455954.57641461137,0.5154023283437735,0.5075313197685623,0.524038100174577,31878.74327165513,29858.20732880897,34191.00295739304,3.1850653803385016e-05,2.968067024531616e-05,3.413595521727283e-05,0.0,0.0,0.0,24719.212567512637,30544.679270589688
ppo,agent,drift,0.5669169295882853,0.5642879461479987,0.5702439081513967,0.06487422692164684,0.06267134469044566,0.06691818272550996,356424.12401355215,342641.94861954823,370364.18785888865,349372.93563686236,335799.0883488301,363118.1763871883,435741.8160332832,418498.7128576632,453078.06578176806,0.5676553311596422,0.559515721046936,0.5769504621396006,28940.482372403912,26119.225029204812,31300.565300672253,3.548501432988999e-05,3.2446886215929126e-05,3.924876883444655e-05,0.0,0.0,0.0,26663.240231735566,33271.45397089447
ppo,agent,noise,0.5673427047870588,0.5613639640987493,0.5723733562262542,0.05424885848952962,0.051881908217321054,0.05662050067912213,389200.6823192096,376291.1436435458,400632.5972864477,381868.40254776744,369178.9974576891,393107.0750635922,476968.236297742,461012.44073613745,491161.5697613116,0.5284596467020951,0.5192030634841156,0.536109377689346,34672.76066675934,33437.45710157444,36168.79583534382,2.9069804458990232e-05,2.7822552600022814e-05,3.006703572279885e-05,0.0,0.0,0.0,22504.658108419135,27935.324682075225
ppo,agent,split_policy_dynamics,0.5870203414877261,0.5832403483478807,0.5906163370664592,0.05837272934599954,0.05518871498296352,0.06177353603655572,398297.87380772835,387813.0741202122,410479.17758088,390767.5473158608,380529.69675875077,402705.2294258691,487044.0624226607,473892.8897631601,502207.2522422896,0.5681776397418022,0.5600394495209711,0.5772146917120111,32700.924740038576,31192.823236281733,34170.70978047838,3.079786448514148e-05,2.9512420441006322e-05,3.222847355459984e-05,0.0,0.0,0.0,20156.68774353173,25129.607342947565
profit_oriented,baseline,adverse_stress,0.9002673448242268,0.8959262333553349,0.9041874727082853,0.08542020031664209,0.08370382029600662,0.08706885114677172,442055.94466514327,427338.29165818903,452616.31657169544,432864.78450778243,418316.334351109,443095.9720762762,522732.6791585687,504276.4964470371,535507.9820586573,0.9020532469806941,0.8851689764794066,0.9238964758306897,33341.65070156032,30594.228845320686,36368.40573508748,3.102976835795804e-05,2.824554274637507e-05,3.3848242291541965e-05,8.156223573742592,7.759322592674963,8.496263215637834,25568.536075862587,31583.447240487356
profit_oriented,baseline,base_market,0.9622686672235924,0.9603480490691271,0.9646584934787804,0.06769342422612613,0.06519206849515768,0.06992425236461111,586239.2436694681,568474.7091712912,604436.6292320308,574720.1036946684,557353.7124247048,592575.7921545675,700666.0090507204,678547.4825880806,723266.6747036922,0.8500610189204857,0.8389204248107753,0.8597085006666396,53807.670385370926,51334.961907016965,56211.80898740823,1.8688608870246042e-05,1.7931564695538727e-05,1.9531317194124776e-05,6.8705164275240245,6.375385918643388,7.230954010061275,31949.563608859626,39547.79032962979
profit_oriented,baseline,class_imbalance_shift,0.9519594983790798,0.9497980711942609,0.9543771595508652,0.07784645361735713,0.0759014147718655,0.0802323909358173,533623.2894035177,512770.0591987827,552489.5947652853,522840.19696428714,502226.02519012423,541302.1195127078,635437.4672576276,608555.8244468205,658538.8574317347,0.8187886017266778,0.8063417167639958,0.8283042874059404,47426.008397158526,45199.62040425238,50644.14617337088,2.1287899498232746e-05,2.0028582604814393e-05,2.2284158367743346e-05,7.649201276474943,7.236567042291165,8.112127742148429,39630.55429526047,49696.83936533717
